Africa/Algeria,33333216.0,72.301
Africa/Angola,12420476.0,42.731
Africa/Benin,8078314.0,56.728
Africa/Botswana,1639131.0,50.728
Africa/Burkina Faso,14326203.0,52.295
Africa/Burundi,8390505.0,49.58
Africa/Cameroon,17696293.0,50.43
Africa/Central African Republic,4369038.0,44.741
Africa/Chad,10238807.0,50.651
Africa/Comoros,710960.0,65.152
"Africa/Congo, Dem. Rep.",64606759.0,46.462
"Africa/Congo, Rep.",3800610.0,55.322
Africa/Cote d'Ivoire,18013409.0,48.328
Africa/Djibouti,496374.0,54.791
Africa/Egypt,80264543.0,71.338
Africa/Equatorial Guinea,551201.0,51.579
Africa/Eritrea,4906585.0,58.04
Africa/Ethiopia,76511887.0,52.947
Africa/Gabon,1454867.0,56.735
Africa/Gambia,1688359.0,59.448
Africa/Ghana,22873338.0,60.022
Africa/Guinea,9947814.0,56.007
Africa/Guinea-Bissau,1472041.0,46.388
Africa/Kenya,35610177.0,54.11
Africa/Lesotho,2012649.0,42.592
Africa/Liberia,3193942.0,45.678
Africa/Libya,6036914.0,73.952
Africa/Madagascar,19167654.0,59.443
Africa/Malawi,13327079.0,48.303
Africa/Mali,12031795.0,54.467
Africa/Mauritania,3270065.0,64.164
Africa/Mauritius,1250882.0,72.801
Africa/Morocco,33757175.0,71.164
Africa/Mozambique,19951656.0,42.082
Africa/Namibia,2055080.0,52.906
Africa/Niger,12894865.0,56.867
Africa/Nigeria,135031164.0,46.859
Africa/Reunion,798094.0,76.442
Africa/Rwanda,8860588.0,46.242
Africa/Sao Tome and Principe,199579.0,65.528
Africa/Senegal,12267493.0,63.062
Africa/Sierra Leone,6144562.0,42.568
Africa/Somalia,9118773.0,48.159
Africa/South Africa,43997828.0,49.339
Africa/Sudan,42292929.0,58.556
Africa/Swaziland,1133066.0,39.613
Africa/Tanzania,38139640.0,52.517
Africa/Togo,5701579.0,58.42
Africa/Tunisia,10276158.0,73.923
Africa/Uganda,29170398.0,51.542
Africa/Zambia,11746035.0,42.384
Africa/Zimbabwe,12311143.0,43.487
Americas/Argentina,40301927.0,75.32
Americas/Bolivia,9119152.0,65.554
Americas/Brazil,190010647.0,72.39
Americas/Canada,33390141.0,80.653
Americas/Chile,16284741.0,78.553
Americas/Colombia,44227550.0,72.889
Americas/Costa Rica,4133884.0,78.782
Americas/Cuba,11416987.0,78.273
Americas/Dominican Republic,9319622.0,72.235
Americas/Ecuador,13755680.0,74.994
Americas/El Salvador,6939688.0,71.878
Americas/Guatemala,12572928.0,70.259
Americas/Haiti,8502814.0,60.916
Americas/Honduras,7483763.0,70.198
Americas/Jamaica,2780132.0,72.567
Americas/Mexico,108700891.0,76.195
Americas/Nicaragua,5675356.0,72.899
Americas/Panama,3242173.0,75.537
Americas/Paraguay,6667147.0,71.752
Americas/Peru,28674757.0,71.421
Americas/Puerto Rico,3942491.0,78.746
Americas/Trinidad and Tobago,1056608.0,69.819
Americas/United States,301139947.0,78.242
Americas/Uruguay,3447496.0,76.384
Americas/Venezuela,26084662.0,73.747
Asia/Afghanistan,31889923.0,43.828
Asia/Bahrain,708573.0,75.635
Asia/Bangladesh,150448339.0,64.062
Asia/Cambodia,14131858.0,59.723
Asia/China,1318683096.0,72.961
"Asia/Hong Kong, China",6980412.0,82.208
Asia/India,1110396331.0,64.698
Asia/Indonesia,223547000.0,70.65
Asia/Iran,69453570.0,70.964
Asia/Iraq,27499638.0,59.545
Asia/Israel,6426679.0,80.745
Asia/Japan,127467972.0,82.603
Asia/Jordan,6053193.0,72.535
"Asia/Korea, Dem. Rep.",23301725.0,67.297
"Asia/Korea, Rep.",49044790.0,78.623
Asia/Kuwait,2505559.0,77.588
Asia/Lebanon,3921278.0,71.993
Asia/Malaysia,24821286.0,74.241
Asia/Mongolia,2874127.0,66.803
Asia/Myanmar,47761980.0,62.069
Asia/Nepal,28901790.0,63.785
Asia/Oman,3204897.0,75.64
Asia/Pakistan,169270617.0,65.483
Asia/Philippines,91077287.0,71.688
Asia/Saudi Arabia,27601038.0,72.777
Asia/Singapore,4553009.0,79.972
Asia/Sri Lanka,20378239.0,72.396
Asia/Syria,19314747.0,74.143
Asia/Taiwan,23174294.0,78.4
Asia/Thailand,65068149.0,70.616
Asia/Vietnam,85262356.0,74.249
Asia/West Bank and Gaza,4018332.0,73.422
"Asia/Yemen, Rep.",22211743.0,62.698
Europe/Albania,3600523.0,76.423
Europe/Austria,8199783.0,79.829
Europe/Belgium,10392226.0,79.441
Europe/Bosnia and Herzegovina,4552198.0,74.852
Europe/Bulgaria,7322858.0,73.005
Europe/Croatia,4493312.0,75.748
Europe/Czech Republic,10228744.0,76.486
Europe/Denmark,5468120.0,78.332
Europe/Finland,5238460.0,79.313
Europe/France,61083916.0,80.657
Europe/Germany,82400996.0,79.406
Europe/Greece,10706290.0,79.483
Europe/Hungary,9956108.0,73.338
Europe/Iceland,301931.0,81.757
Europe/Ireland,4109086.0,78.885
Europe/Italy,58147733.0,80.546
Europe/Montenegro,684736.0,74.543
Europe/Netherlands,16570613.0,79.762
Europe/Norway,4627926.0,80.196
Europe/Poland,38518241.0,75.563
Europe/Portugal,10642836.0,78.098
Europe/Romania,22276056.0,72.476
Europe/Serbia,10150265.0,74.002
Europe/Slovak Republic,5447502.0,74.663
Europe/Slovenia,2009245.0,77.926
Europe/Spain,40448191.0,80.941
Europe/Sweden,9031088.0,80.884
Europe/Switzerland,7554661.0,81.701
Europe/Turkey,71158647.0,71.777
Europe/United Kingdom,60776238.0,79.425
Oceania/Australia,20434176.0,81.235
Oceania/New Zealand,4115771.0,80.204
